epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.33,1.60354,2.28001,1.616,0.44957,0.4457,0.41309,0.19222,1.69274,2.17671,1.77791,0.00066576,0.00066576,0.00066576
2,253.757,1.80094,2.16389,1.80225,0.35559,0.33232,0.29215,0.12209,1.98662,2.60835,2.07278,0.00130604,0.00130604,0.00130604
3,373.798,1.8126,2.14489,1.80974,0.49618,0.46664,0.44896,0.1949,1.78757,1.98589,1.90818,0.00191993,0.00191993,0.00191993
4,494.637,1.75937,2.08928,1.79375,0.52388,0.43873,0.43556,0.20136,1.79505,1.80754,1.90615,0.0018812,0.0018812,0.0018812
5,609.156,1.69455,1.98562,1.73441,0.59464,0.50065,0.52952,0.27256,1.63987,1.69232,1.78652,0.0018416,0.0018416,0.0018416
6,729.265,1.67374,1.90291,1.7062,0.63426,0.48099,0.53264,0.28586,1.58173,1.64473,1.75249,0.001802,0.001802,0.001802
7,846.402,1.60911,1.82432,1.64894,0.66011,0.53249,0.59817,0.32125,1.53646,1.48301,1.67803,0.0017624,0.0017624,0.0017624
8,974.619,1.60142,1.77715,1.6449,0.69519,0.56956,0.63509,0.31944,1.60391,1.43648,1.69376,0.0017228,0.0017228,0.0017228
9,1099.4,1.55564,1.71442,1.61297,0.73012,0.58874,0.67147,0.37038,1.48392,1.32028,1.61598,0.0016832,0.0016832,0.0016832
10,1224.2,1.54527,1.67593,1.59428,0.71757,0.57,0.65484,0.36168,1.49425,1.34531,1.62553,0.0016436,0.0016436,0.0016436
11,1342.58,1.51605,1.62428,1.5813,0.68764,0.59529,0.64781,0.36012,1.44811,1.35907,1.62713,0.001604,0.001604,0.001604
12,1470.81,1.47471,1.5719,1.5511,0.71419,0.62233,0.69122,0.38077,1.46022,1.25694,1.5863,0.0015644,0.0015644,0.0015644
13,1590.9,1.45572,1.56647,1.53994,0.72304,0.62582,0.6983,0.39348,1.41259,1.29259,1.55808,0.0015248,0.0015248,0.0015248
14,1711.09,1.46141,1.53426,1.5377,0.73243,0.62407,0.69076,0.39814,1.40865,1.26652,1.54872,0.0014852,0.0014852,0.0014852
15,1826.36,1.44772,1.4996,1.52239,0.7386,0.64283,0.72307,0.40799,1.42227,1.16312,1.55182,0.0014456,0.0014456,0.0014456
16,1940.58,1.43895,1.47065,1.50878,0.74762,0.58395,0.6755,0.39723,1.42249,1.23626,1.56465,0.001406,0.001406,0.001406
17,2050.11,1.41242,1.43418,1.48789,0.77902,0.63541,0.73586,0.42726,1.39535,1.13523,1.52361,0.0013664,0.0013664,0.0013664
18,2172.14,1.40182,1.42726,1.4823,0.7812,0.62625,0.72061,0.41945,1.38114,1.14705,1.51099,0.0013268,0.0013268,0.0013268
19,2300.46,1.38313,1.41499,1.4745,0.76562,0.6703,0.74728,0.43783,1.34636,1.1006,1.50284,0.0012872,0.0012872,0.0012872
20,2417.84,1.37594,1.39357,1.46023,0.76639,0.62931,0.72282,0.43345,1.36305,1.12961,1.47077,0.0012476,0.0012476,0.0012476
21,2541.6,1.3669,1.3899,1.46059,0.76367,0.66245,0.74203,0.44336,1.33385,1.08694,1.46023,0.001208,0.001208,0.001208
22,2654.94,1.35482,1.35662,1.44706,0.76601,0.6596,0.73872,0.44928,1.31379,1.07948,1.44671,0.0011684,0.0011684,0.0011684
