epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4788,2.08747,1.58904,1.18892,0.6797,0.58408,0.6227,0.29309,1.30157,1.76194,0.77918,0.00066129,0.00066129,0.00066129
2,47.3937,1.72234,1.03875,1.03246,0.7925,0.65616,0.72564,0.34611,1.23304,1.44846,0.76008,0.00130166,0.00130166,0.00130166
3,71.26,1.60247,0.93813,0.99877,0.80313,0.68018,0.75045,0.38287,1.17768,1.09567,0.74124,0.00191564,0.00191564,0.00191564
4,94.7632,1.50605,0.86912,0.972,0.83807,0.69369,0.77902,0.39154,1.17338,1.17053,0.73843,0.0018812,0.0018812,0.0018812
5,122.422,1.44437,0.8247,0.95062,0.79692,0.73273,0.7865,0.41172,1.14324,0.70133,0.74042,0.0018416,0.0018416,0.0018416
6,146.609,1.33837,0.78383,0.92651,0.81853,0.71622,0.79513,0.41247,1.14298,0.75701,0.73484,0.001802,0.001802,0.001802
7,177.04,1.32689,0.74323,0.92631,0.82153,0.72823,0.80714,0.42586,1.12546,1.24985,0.73715,0.0017624,0.0017624,0.0017624
8,205.002,1.28143,0.71946,0.91402,0.82028,0.74698,0.81649,0.42536,1.1297,0.66782,0.7362,0.0017228,0.0017228,0.0017228
9,230.088,1.23288,0.69456,0.90212,0.84097,0.73874,0.8181,0.4292,1.11737,0.62126,0.72732,0.0016832,0.0016832,0.0016832
10,254.509,1.1643,0.66403,0.88983,0.86388,0.73273,0.81763,0.43465,1.10196,0.65565,0.72649,0.0016436,0.0016436,0.0016436
11,278.865,1.12534,0.64513,0.88432,0.84486,0.73874,0.81014,0.43507,1.0979,0.68475,0.73057,0.001604,0.001604,0.001604
12,304.009,1.098,0.63197,0.8765,0.83711,0.72535,0.81846,0.43653,1.10742,0.62135,0.73277,0.0015644,0.0015644,0.0015644
13,328.358,1.09611,0.62448,0.87849,0.79923,0.76727,0.82057,0.43808,1.11572,0.60586,0.73741,0.0015248,0.0015248,0.0015248
14,354.224,1.05698,0.62135,0.86684,0.83423,0.74807,0.81561,0.4295,1.13935,0.66488,0.75034,0.0014852,0.0014852,0.0014852
15,377.464,1.01819,0.58527,0.85527,0.82812,0.7596,0.82749,0.4318,1.14106,0.61609,0.74633,0.0014456,0.0014456,0.0014456
16,403.077,1.00413,0.5817,0.85815,0.82156,0.75526,0.82379,0.4224,1.14797,0.63724,0.74184,0.001406,0.001406,0.001406
17,427.464,0.95437,0.56205,0.84976,0.83897,0.75976,0.82897,0.44347,1.11273,0.705,0.74438,0.0013664,0.0013664,0.0013664
18,451.203,0.92392,0.54472,0.84738,0.81512,0.76126,0.83048,0.43683,1.11676,0.66196,0.73976,0.0013268,0.0013268,0.0013268
19,476.939,0.90177,0.53187,0.84414,0.85703,0.76426,0.83488,0.43962,1.12503,0.82711,0.74936,0.0012872,0.0012872,0.0012872
20,500.129,0.87734,0.52147,0.84084,0.81597,0.56006,0.62351,0.32391,1.12391,0.60359,0.74613,0.0012476,0.0012476,0.0012476
21,522.183,0.86607,0.51423,0.83628,0.86225,0.74925,0.83432,0.44269,1.11682,0.62067,0.74565,0.001208,0.001208,0.001208
22,544.001,0.84153,0.50608,0.83306,0.83029,0.77133,0.82778,0.43812,1.12406,0.77701,0.75057,0.0011684,0.0011684,0.0011684
23,566.044,0.82229,0.50009,0.82388,0.84878,0.75006,0.83182,0.43766,1.12395,0.74024,0.75018,0.0011288,0.0011288,0.0011288
24,588.33,0.7885,0.48732,0.82602,0.82832,0.76126,0.83458,0.44652,1.11389,0.61819,0.74202,0.0010892,0.0010892,0.0010892
25,609.04,0.78677,0.47977,0.8243,0.84011,0.74625,0.83108,0.43925,1.13127,0.65432,0.75594,0.0010496,0.0010496,0.0010496
26,630.456,0.78895,0.47106,0.82592,0.8433,0.7434,0.83283,0.44549,1.09794,0.88944,0.74746,0.00101,0.00101,0.00101
27,651.993,0.73281,0.4527,0.81899,0.87683,0.71922,0.83145,0.43905,1.12587,0.84392,0.76375,0.0009704,0.0009704,0.0009704
28,674.628,0.71429,0.44604,0.81743,0.83317,0.76484,0.82967,0.44334,1.10848,0.83752,0.75492,0.0009308,0.0009308,0.0009308
29,696.315,0.73002,0.45055,0.81746,0.80608,0.77778,0.82223,0.43135,1.11522,1.57353,0.75707,0.0008912,0.0008912,0.0008912
30,718.439,0.68564,0.43111,0.81189,0.8323,0.76877,0.83378,0.44753,1.11321,0.6093,0.75379,0.0008516,0.0008516,0.0008516
31,739.64,0.67998,0.43034,0.80958,0.85415,0.74925,0.83078,0.43773,1.12236,0.67079,0.75873,0.000812,0.000812,0.000812
32,760.952,0.6795,0.42379,0.81323,0.83952,0.74925,0.83179,0.44164,1.1194,0.716,0.75672,0.0007724,0.0007724,0.0007724
33,783.584,0.6559,0.41168,0.80418,0.83966,0.75826,0.83365,0.44248,1.11788,0.73858,0.75766,0.0007328,0.0007328,0.0007328
34,806.295,0.65427,0.41523,0.80219,0.80616,0.78078,0.83378,0.44514,1.10601,0.79371,0.75455,0.0006932,0.0006932,0.0006932
35,828.476,0.62234,0.40142,0.80452,0.8204,0.75826,0.82648,0.43543,1.11242,1.30123,0.75258,0.0006536,0.0006536,0.0006536
36,850.27,0.60449,0.39177,0.79898,0.84902,0.75375,0.83893,0.44617,1.11757,0.74918,0.75583,0.000614,0.000614,0.000614
37,871.086,0.59449,0.38898,0.80273,0.84035,0.75081,0.82963,0.44187,1.12702,0.63875,0.7614,0.0005744,0.0005744,0.0005744
38,893.11,0.58099,0.38104,0.79689,0.81565,0.76126,0.82624,0.43562,1.12334,0.70495,0.75329,0.0005348,0.0005348,0.0005348
