epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.413,1.77888,2.10593,1.84014,0.12277,0.17619,0.07425,0.03016,2.45083,18.2177,2.91929,0.000664251,0.000664251,0.000664251
2,417.929,2.05943,2.49782,2.12109,0.24152,0.21326,0.14398,0.05076,2.29528,7.27963,2.64409,0.00130457,0.00130457,0.00130457
3,623.495,1.94522,2.41559,2.02423,0.2189,0.28609,0.15622,0.05389,2.1349,4.20396,2.35628,0.00191848,0.00191848,0.00191848
4,828.653,1.87147,2.27839,1.95807,0.28861,0.36372,0.23913,0.09581,2.01025,3.53551,2.2997,0.0018812,0.0018812,0.0018812
5,1033.58,1.78235,2.13354,1.88411,0.43691,0.46925,0.41183,0.18647,1.79964,2.39618,2.04549,0.0018416,0.0018416,0.0018416
6,1238.23,1.71305,2.00697,1.79764,0.46529,0.3925,0.36183,0.16049,1.9045,1.97051,2.07912,0.001802,0.001802,0.001802
7,1441.59,1.65024,1.91401,1.74885,0.55664,0.45704,0.48399,0.23324,1.72484,1.9904,1.89393,0.0017624,0.0017624,0.0017624
8,1646.21,1.6276,1.85039,1.71956,0.58727,0.54339,0.5617,0.26802,1.66921,1.71199,1.86863,0.0017228,0.0017228,0.0017228
9,1850.64,1.58736,1.80078,1.69556,0.5746,0.51543,0.52727,0.26146,1.63784,1.6625,1.8187,0.0016832,0.0016832,0.0016832
10,2054.13,1.56763,1.73374,1.6782,0.63256,0.5229,0.57601,0.29663,1.57469,1.55013,1.76069,0.0016436,0.0016436,0.0016436
11,2258.74,1.5305,1.69114,1.65123,0.70016,0.55092,0.63517,0.3392,1.51029,1.48,1.73597,0.001604,0.001604,0.001604
12,2462.71,1.4905,1.64413,1.62668,0.67546,0.60401,0.65503,0.35206,1.48915,1.4046,1.70118,0.0015644,0.0015644,0.0015644
13,2667.21,1.50272,1.59044,1.61159,0.64079,0.57523,0.6107,0.3286,1.53281,1.49677,1.77811,0.0015248,0.0015248,0.0015248
14,2870.34,1.47328,1.56144,1.60693,0.69564,0.5861,0.65054,0.34999,1.48686,1.38526,1.68823,0.0014852,0.0014852,0.0014852
15,3073.39,1.45363,1.53964,1.59037,0.66163,0.56433,0.61384,0.33969,1.4713,1.45301,1.69056,0.0014456,0.0014456,0.0014456
16,3276.67,1.42099,1.48754,1.57548,0.67422,0.58264,0.64902,0.36968,1.43853,1.37998,1.67282,0.001406,0.001406,0.001406
17,3481.02,1.427,1.4867,1.578,0.71898,0.60968,0.68518,0.39295,1.4344,1.28498,1.6805,0.0013664,0.0013664,0.0013664
18,3685.47,1.40976,1.4548,1.55338,0.72943,0.62146,0.69724,0.3993,1.41248,1.24003,1.62483,0.0013268,0.0013268,0.0013268
19,3889.83,1.39255,1.42409,1.54643,0.72854,0.61491,0.69453,0.40061,1.38371,1.24824,1.61828,0.0012872,0.0012872,0.0012872
20,4093.79,1.3645,1.38622,1.52075,0.72164,0.62071,0.69753,0.41075,1.38941,1.22515,1.60713,0.0012476,0.0012476,0.0012476
21,4297.98,1.34989,1.35935,1.50146,0.67754,0.62625,0.67385,0.39987,1.41724,1.22105,1.65065,0.001208,0.001208,0.001208
22,4501.23,1.34223,1.35162,1.50533,0.72825,0.64893,0.72866,0.4402,1.33442,1.14632,1.56415,0.0011684,0.0011684,0.0011684
23,4705.63,1.3184,1.32303,1.49519,0.72604,0.62582,0.70294,0.41847,1.33148,1.18763,1.55743,0.0011288,0.0011288,0.0011288
24,4909.04,1.30292,1.28657,1.47406,0.77267,0.65024,0.73324,0.45818,1.28555,1.09317,1.51286,0.0010892,0.0010892,0.0010892
25,5113.13,1.28852,1.25192,1.46206,0.76225,0.67117,0.74175,0.44883,1.31923,1.08941,1.54755,0.0010496,0.0010496,0.0010496
26,5316.27,1.2911,1.24674,1.45801,0.73946,0.66856,0.7398,0.45843,1.27713,1.08823,1.51279,0.00101,0.00101,0.00101
27,5520.59,1.27594,1.24316,1.45819,0.76755,0.64501,0.74601,0.45791,1.26471,1.08883,1.5035,0.0009704,0.0009704,0.0009704
