epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1474,2.54585,2.11422,1.46822,0.4982,0.42136,0.41083,0.18173,1.98819,1.62311,1.18676,0.00054,0.00054,0.00054
2,41.4362,2.06789,1.24569,1.15996,0.67593,0.49709,0.54956,0.23595,1.84452,1.30246,1.12289,0.00107822,0.00107822,0.00107822
3,63.7593,1.99046,1.13694,1.11213,0.62328,0.57864,0.62454,0.26202,1.76982,1.13397,1.09432,0.00159426,0.00159426,0.00159426
4,85.9532,1.99151,1.08353,1.11432,0.62979,0.52427,0.55455,0.23528,1.89054,1.21092,1.11922,0.0018812,0.0018812,0.0018812
5,106.697,1.8971,1.05672,1.09306,0.73242,0.62524,0.69281,0.30176,1.77148,1.06056,1.08128,0.0018416,0.0018416,0.0018416
6,128.875,1.877,1.038,1.07009,0.70585,0.67096,0.70595,0.30094,1.73046,1.00794,1.06151,0.001802,0.001802,0.001802
7,151.042,1.85218,0.99326,1.06894,0.74426,0.67767,0.72367,0.33031,1.67638,0.96461,1.05872,0.0017624,0.0017624,0.0017624
8,173.167,1.87728,0.98091,1.0534,0.65856,0.61422,0.63622,0.27634,1.80717,1.02867,1.09138,0.0017228,0.0017228,0.0017228
9,193.929,1.85808,0.97287,1.0674,0.78248,0.63883,0.72709,0.32962,1.68224,0.91867,1.04738,0.0016832,0.0016832,0.0016832
10,215.013,1.7953,0.94098,1.0544,0.78128,0.67974,0.7621,0.36174,1.61672,0.91538,1.03228,0.0016436,0.0016436,0.0016436
11,236.82,1.75824,0.9126,1.03527,0.77008,0.74141,0.77706,0.34792,1.71191,0.92798,1.06176,0.001604,0.001604,0.001604
12,257.958,1.77702,0.91737,1.03638,0.81951,0.71411,0.77794,0.36361,1.60673,0.87597,1.03492,0.0015644,0.0015644,0.0015644
13,280.059,1.76362,0.91022,1.03853,0.741,0.72621,0.76273,0.35007,1.62176,0.91949,1.03213,0.0015248,0.0015248,0.0015248
14,300.725,1.72501,0.89575,1.02218,0.76474,0.70291,0.75046,0.34325,1.64717,0.88811,1.0438,0.0014852,0.0014852,0.0014852
15,321.763,1.71735,0.87336,1.02064,0.84579,0.70291,0.79642,0.39108,1.59962,0.8801,1.02465,0.0014456,0.0014456,0.0014456
16,343.849,1.70922,0.8856,1.02401,0.81624,0.72816,0.79311,0.40496,1.53763,0.83542,1.02176,0.001406,0.001406,0.001406
17,365.984,1.67185,0.86514,1.02391,0.83093,0.76505,0.81113,0.39788,1.55952,0.83505,1.0303,0.0013664,0.0013664,0.0013664
18,387.01,1.65793,0.84084,1.01019,0.81996,0.7301,0.80543,0.39252,1.60443,0.85023,1.04379,0.0013268,0.0013268,0.0013268
19,408.128,1.6918,0.85263,1.0038,0.85161,0.74951,0.8029,0.40274,1.55495,0.84055,1.01654,0.0012872,0.0012872,0.0012872
20,429.165,1.64999,0.85105,1.00912,0.79062,0.76699,0.81188,0.40097,1.58157,0.8491,1.03333,0.0012476,0.0012476,0.0012476
21,450.171,1.64269,0.83967,1.00135,0.83148,0.70896,0.79026,0.38545,1.62418,0.85449,1.02929,0.001208,0.001208,0.001208
22,471.322,1.61733,0.83157,0.99254,0.81203,0.77864,0.82881,0.41179,1.51273,0.79602,1.01009,0.0011684,0.0011684,0.0011684
23,493.38,1.5933,0.80571,0.98838,0.83644,0.74175,0.82439,0.41851,1.53743,0.81621,1.02053,0.0011288,0.0011288,0.0011288
24,515.447,1.59795,0.80782,0.98815,0.82871,0.75157,0.8141,0.40073,1.55774,0.80239,1.02395,0.0010892,0.0010892,0.0010892
25,536.437,1.61719,0.80615,0.99243,0.83332,0.74757,0.81305,0.39627,1.57237,0.81228,1.02314,0.0010496,0.0010496,0.0010496
26,557.263,1.54083,0.78176,0.9832,0.81844,0.75922,0.81704,0.41788,1.54529,0.78754,1.01746,0.00101,0.00101,0.00101
27,578.358,1.56127,0.77889,0.99554,0.84623,0.76505,0.81979,0.41911,1.53815,0.803,1.02891,0.0009704,0.0009704,0.0009704
28,600.454,1.55275,0.79816,0.98106,0.85881,0.7677,0.8169,0.41068,1.54313,0.80606,1.02102,0.0009308,0.0009308,0.0009308
29,621.536,1.53462,0.76714,0.98234,0.85453,0.76893,0.83014,0.42576,1.54481,0.79628,1.02282,0.0008912,0.0008912,0.0008912
30,643.225,1.5332,0.76653,0.9782,0.85057,0.76117,0.82463,0.41527,1.54882,0.80259,1.03534,0.0008516,0.0008516,0.0008516
31,664.314,1.54655,0.77605,0.97782,0.83615,0.79271,0.83686,0.42487,1.52991,0.76198,1.02127,0.000812,0.000812,0.000812
