epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.848,2.04675,2.50651,2.0955,0.12235,0.18055,0.09109,0.03014,2.45599,3.62283,2.71499,0.000666062,0.000666062,0.000666062
2,783.267,2.10736,2.71866,2.18693,0.17846,0.17575,0.10922,0.03768,2.19862,3.13417,2.41423,0.00126676,0.00126676,0.00126676
3,1128.85,2.03362,2.65153,2.11476,0.22426,0.22154,0.16302,0.05859,2.24531,2.50268,2.41557,0.00180145,0.00180145,0.00180145
4,1497.53,1.9113,2.48918,2.01652,0.34698,0.37593,0.29969,0.12011,1.90204,2.31201,2.12767,0.001703,0.001703,0.001703
5,1848.37,1.83195,2.36703,1.95144,0.41792,0.38988,0.34833,0.15204,1.80301,2.37195,2.01441,0.001604,0.001604,0.001604
6,2239.59,1.73728,2.24236,1.868,0.51416,0.44788,0.44327,0.2032,1.73458,1.9092,1.9496,0.001505,0.001505,0.001505
7,2581.28,1.71173,2.159,1.83332,0.53142,0.45443,0.45805,0.20839,1.69073,1.90014,1.93045,0.001406,0.001406,0.001406
8,2951.54,1.66814,2.07311,1.79297,0.54359,0.50632,0.5027,0.23517,1.70129,1.73967,1.93455,0.001307,0.001307,0.001307
9,3307.91,1.62423,1.95575,1.76012,0.58293,0.53336,0.54428,0.26675,1.57392,1.72202,1.7812,0.001208,0.001208,0.001208
10,3645.56,1.5885,1.92477,1.73598,0.63733,0.54383,0.58799,0.30571,1.55082,1.52667,1.77922,0.001109,0.001109,0.001109
11,4002.66,1.62002,1.81378,1.79232,0.6415,0.53642,0.58777,0.29647,1.56899,1.5196,1.79735,0.00101,0.00101,0.00101
12,4364.36,1.58198,1.72275,1.75369,0.65751,0.50485,0.56877,0.30414,1.53226,1.55824,1.75666,0.000911,0.000911,0.000911
13,4728.61,1.54332,1.64291,1.71984,0.68832,0.57828,0.63952,0.3474,1.4657,1.4317,1.69689,0.000812,0.000812,0.000812
14,5110.75,1.49867,1.57452,1.68657,0.7128,0.58014,0.6488,0.35753,1.44246,1.35767,1.68031,0.000713,0.000713,0.000713
15,5469.49,1.4497,1.4957,1.65335,0.70938,0.58123,0.65272,0.37336,1.43132,1.32161,1.64323,0.000614,0.000614,0.000614
16,5818.44,1.42713,1.43258,1.63287,0.73746,0.61404,0.69404,0.41078,1.37874,1.22247,1.61494,0.000515,0.000515,0.000515
17,6187.45,1.3858,1.37031,1.59198,0.76121,0.59878,0.69251,0.40628,1.37836,1.20465,1.6179,0.000416,0.000416,0.000416
18,6531.71,1.35555,1.31901,1.56372,0.75691,0.64108,0.72518,0.42841,1.34272,1.16964,1.57734,0.000317,0.000317,0.000317
19,6906.48,1.32489,1.26636,1.53677,0.76114,0.63371,0.71735,0.43145,1.31861,1.15141,1.56349,0.000218,0.000218,0.000218
20,7255.61,1.28469,1.22839,1.51211,0.74831,0.64544,0.72775,0.44201,1.29838,1.12702,1.54576,0.000119,0.000119,0.000119
