                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4998,                 2.0274,                 1.5016,                0.56715,                0.50113,                0.50119,                0.23675,                  1.747,                 2.0067,                 1.9365,             0.00066425,             0.00066425,             0.00066425
                      2,                 1.6494,                 1.8883,                 1.6224,                0.56146,                0.47798,                0.48419,                0.21623,                 1.7825,                 2.1817,                 1.8384,              0.0013046,              0.0013046,              0.0013046
                      3,                 1.7148,                 1.9256,                 1.6885,                0.52224,                0.48626,                0.47396,                0.22369,                 1.7454,                 1.8754,                  1.826,              0.0019185,              0.0019185,              0.0019185
                      4,                 1.6735,                 1.8718,                 1.6754,                0.57108,                0.47536,                0.49346,                0.23785,                 1.7782,                 1.7388,                 1.8345,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6184,                 1.7593,                 1.6309,                  0.599,                0.52638,                0.55971,                0.27773,                 1.6593,                 1.6974,                 1.8193,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5763,                 1.6909,                 1.5891,                0.57355,                0.48059,                 0.5114,                0.25931,                 1.7232,                 1.7561,                 1.8373,               0.001802,               0.001802,               0.001802
                      7,                 1.5453,                 1.6281,                  1.569,                0.68042,                0.49673,                0.56518,                 0.3086,                 1.6301,                 1.5904,                 1.7485,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.504,                 1.5708,                  1.539,                0.68295,                0.57174,                0.63566,                0.36106,                 1.4947,                 1.3809,                 1.5895,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4804,                 1.5327,                 1.5275,                0.70672,                 0.6075,                0.67845,                0.38253,                 1.4571,                 1.2961,                 1.5635,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4634,                 1.4894,                 1.4994,                0.69914,                 0.5495,                0.62176,                0.32664,                 1.6634,                 1.4174,                 1.7651,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4382,                 1.4574,                 1.4893,                0.75025,                 0.6171,                 0.6957,                0.39857,                 1.4263,                 1.2558,                 1.5359,               0.001604,               0.001604,               0.001604
                     12,                 1.4042,                  1.415,                 1.4855,                0.74794,                0.62451,                0.70465,                 0.4014,                 1.4153,                 1.2298,                 1.5354,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4003,                 1.3935,                 1.4597,                 0.7016,                0.62445,                0.68851,                 0.3944,                 1.3908,                 1.3594,                 1.5243,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.377,                 1.3749,                 1.4494,                0.75593,                0.63349,                0.71824,                0.41645,                 1.3944,                 1.1657,                 1.5032,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.354,                 1.3395,                 1.4372,                0.76001,                 0.6328,                0.71409,                0.42027,                 1.3858,                  1.199,                 1.5049,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3364,                 1.2997,                 1.4152,                0.78342,                0.63454,                0.71926,                0.42809,                 1.3644,                 1.1636,                 1.4799,               0.001406,               0.001406,               0.001406
                     17,                 1.3273,                 1.2896,                 1.4144,                0.77227,                0.64334,                0.74043,                 0.4498,                 1.3263,                 1.1046,                 1.4661,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3226,                 1.2702,                 1.4023,                 0.7471,                0.62227,                0.70454,                0.41865,                 1.3446,                 1.1882,                 1.4538,              0.0013268,              0.0013268,              0.0013268
